ep_info,queen_id,season,contestant,rank,real_name,age,ep_1,ep_2,ep_3,ep_4,ep_5,ep_6,ep_7,ep_8,ep_9,ep_10,ep_11,ep_12,ep_13,ep_14,ep_15,ep_16,hometown,url_end
NA,1,1,BeBe Zahara Benet,1st (Winner),Nea Marshall Kudi Ngwa,28,SAFE,SAFE,WIN,HIGH,BTM2,WIN,N/A,WINNER,GUEST,NA,NA,NA,NA,NA,NA,NA,"Minneapolis, MN",BeBe_Zahara_Benet
NA,2,1,Nina Flowers,2nd (Miss Congeniality),Jorge Flores,34,WIN,HIGH TEAM,HIGH,HIGH,LOW,HIGH Mini Chall. Winner,N/A,RUNNER UP,MISS CON,NA,NA,NA,NA,NA,NA,NA,"Bayamón, PR",Nina_Flowers
NA,3,1,Rebecca Glasscock,3rd,Javier Rivera,26,LOW,HIGH TEAM,HIGH,BTM2,WIN Mini Chall. Winner,BTM2,N/A,ELIM,GUEST,NA,NA,NA,NA,NA,NA,NA,"Ft. Lauderdale, FL",Rebecca_Glasscock
NA,4,1,Shannel,4th,Bryan Watkins,29,SAFE,HIGH TEAM,BTM2,LOW,HIGH,ELIM,,,GUEST,NA,NA,NA,NA,NA,NA,NA,"Las Vegas, NV",Shannel
NA,5,1,Ongina,5th,Ryan Ong Palao,26,HIGH,WIN Team Captain,HIGH,WIN,ELIM,,,,GUEST,NA,NA,NA,NA,NA,NA,NA,"Los Angeles, CA",Ongina
NA,6,1,Jade,6th,David Sotomayor,25,SAFE,SAFE,LOW,ELIM Mini Chall. Winner,,,,,GUEST,NA,NA,NA,NA,NA,NA,NA,"Chicago, IL",Jade
NA,7,1,Akashia,7th,Eric Flint,24,BTM2,BTM2 Team Captain,ELIM,,,,,,GUEST,NA,NA,NA,NA,NA,NA,NA,"Cleveland, OH",Akashia
NA,8,1,Tammie Brown,8th,Keith Glen Schubert,29,SAFE,ELIM,,,,,,,GUEST,NA,NA,NA,NA,NA,NA,NA,"Long Beach, CA",Tammie_Brown
NA,9,1,"Victoria ""Porkchop"" Parker",9th,Victor Bowling,39,ELIM,,,,,,,,GUEST,NA,NA,NA,NA,NA,NA,NA,"Raleigh, NC",Victoria_Parker
NA,10,2,Tyra Sanchez,1st (Winner),James Ross,21,HIGH,HIGH TEAM,WIN,SAFE,WIN,LOW,SAFE,HIGH,WIN Mini Chall. Winner,N/A,WINNER,GUEST,NA,NA,NA,NA,"Orlando, FL",Tyra_Sanchez
NA,11,2,Raven,2nd (Runner-Up),David Petriuschin,30,SAFE Mini Chall. Winner,BTM2,BTM2,SAFE Mini Chall. Winner,HIGH Mini Chall. Winner,HIGH,WIN,WIN,HIGH,N/A,RUNNER UP,GUEST,NA,NA,NA,NA,"Riverside, CA",Raven
NA,12,2,Jujubee,3rd,Airline Inthyrath,25,SAFE,HIGH TEAM,SAFE,LOW,HIGH,BTM2,HIGH Mini Chall. Winner,BTM2,BTM2,N/A,ELIM,GUEST,NA,NA,NA,NA,"Boston, MA",Jujubee
NA,13,2,Tatianna,4th,Joey Santolini,20,SAFE,SAFE,SAFE,WIN,LOW,SAFE,BTM2,HIGH Mini Chall. Winner,ELIM,,,GUEST,NA,NA,NA,NA,"Falls Church, VA",Tatianna
NA,14,2,Pandora Boxx,5th (Miss Congeniality),Michael Steck,37,HIGH,SAFE Team Captain,HIGH,HIGH,SAFE,HIGH Mini Chall. Winner,LOW,ELIM,,,,MISS CON,NA,NA,NA,NA,"Rochester, NY",Pandora_Boxx
NA,15,2,Jessica Wild,6th,José David Sierra,29,SAFE,HIGH TEAM,HIGH,SAFE,HIGH,WIN,ELIM,,,,,GUEST,NA,NA,NA,NA,"San Juan, PR",Jessica_Wild
NA,16,2,Sahara Davenport,7th,Antoine Ashley,25,BTM2,WIN Team Captain,SAFE,SAFE,BTM2,ELIM,,,,,,GUEST,NA,NA,NA,NA,"New York, NY",Sahara_Davenport
NA,17,2,Morgan McMichaels,8th,Thomas White,28,WIN,SAFE,SAFE Team Captain,BTM2,ELIM,,,,,,,GUEST,NA,NA,NA,NA,"Mira Loma, CA",Morgan_McMichaels
NA,18,2,Sonique,9th,Kylie Sonique Love,26,SAFE,LOW,SAFE,ELIM,,,,,,,,GUEST,NA,NA,NA,NA,"Atlanta, GA",Sonique
NA,19,2,Mystique Summers Madison,10th,Donté Sims,25,LOW,HIGH TEAM,ELIM Team Captain,,,,,,,,,GUEST,NA,NA,NA,NA,"Bedford, TX",Mystique_Summers_Madison
NA,20,2,Nicole Paige Brooks,11th,Bryan Christopher Pryor,36,SAFE,ELIM,,,,,,,,,,GUEST,NA,NA,NA,NA,"Atlanta, GA",Nicole_Paige_Brooks
NA,21,2,Shangela Laquifa Wadley,12th,D.J. Pierce,28,ELIM,,,,,,,,,,,GUEST,NA,NA,NA,NA,"Paris, TX",Shangela_Laquifa_Wadley
NA,22,3,Raja,1st (Winner),Sutan Amrull,36,IN,WIN Mini Chall. Winner,SAFE,SAFE,SAFE,HIGH,WIN,HIGH,LOW,WIN,HIGH Mini Chall. Winner,BTM2,HIGH,N/A,WINNER,GUEST,"Los Angeles, CA",Raja
NA,23,3,Manila Luzon,2nd (Runner-Up),Karl Westerberg,28,IN,HIGH,SAFE,SAFE Team Captain,WIN,SAFE,HIGH,BTM2,LOW Mini Chall. Winner,HIGH Mini Chall. Winner,HIGH,WIN,WIN,N/A,RUNNER UP,GUEST,"New York, NY",Manila_Luzon
NA,24,3,Alexis Mateo,3rd,Alexis Mateo Pacheco,30,IN,SAFE,WIN,WIN,SAFE,HIGH,BTM2,SAFE,WIN,LOW,BTM2,HIGH Mini Chall. Winner,BTM2,N/A,ELIM,GUEST,"St. Petersburg, FL",Alexis_Mateo
NA,25,3,Yara Sofia,4th (Miss Congeniality),Gabriel Burgos Ortiz,26,IN,SAFE,HIGH TEAM,HIGH,SAFE,LOW,HIGH,HIGH,BTM2,HIGH,WIN,HIGH,ELIM Mini Chall. Winner,,,MISS CON,"Manati, PR",Yara_Sofia
NA,26,3,Carmen Carrera,5th (Orig. 6th),Carmen Roman,25,IN,LOW,LOW,SAFE Team Captain,SAFE Team Captain,SAFE,LOW Mini Chall. Winner,HIGH,BTM2,ELIM,,RTRN + ELIM,,,,GUEST,"Elmwood Park, NJ",Carmen_Carrera
NA,27,3,Shangela,6th,D.J. Pierce,29,,BTM2,WIN,SAFE,HIGH,SAFE,LOW,WIN Mini Chall. Winner,HIGH,BTM2,ELIM,,,,,GUEST,"Los Angeles, CA",Shangela
NA,28,3,Delta Work,7th,Gabriel Villarreal,34,OPEN CALL,SAFE,BTM2,SAFE,SAFE,BTM2 Mini Chall. Winner,HIGH,ELIM,,,,,,,,GUEST,"Norwalk, CA",Delta_Work
NA,29,3,Stacy Layne Matthews,8th,Stacy Jones,25,IN,SAFE,HIGH TEAM,HIGH,BTM2 Team Captain,WIN,ELIM,,,,,,,,,GUEST,"Back Swamp, NC",Stacy_Layne_Matthews
NA,30,3,Mariah,9th,Elijah Kelly,29,IN,SAFE,HIGH TEAM Team Captain,LOW,LOW,ELIM,,,,,,,,,,GUEST,"Atlanta, GA",Mariah
NA,31,3,India Ferrah,10th,Shane Richardson,23,IN,SAFE,SAFE,BTM2,ELIM,,,,,,,,,,,GUEST,"Dayton, OH",India_Ferrah
NA,32,3,Mimi Imfurst,11th,Braden Chapman,27,IN,HIGH,HIGH TEAM,ELIM,,,,,,,,,,,,GUEST,"New York, NY",Mimi_Imfurst
NA,33,3,Phoenix,12th,Brian Trapp,29,IN,SAFE,ELIM Team Captain,,,,,,,,,,,,,GUEST,"Atlanta, GA",Phoenix
NA,34,3,Venus D-Lite,13th,Adam Guerra,26,OPEN CALL,ELIM,,,,,,,,,,,,,,GUEST,"Los Angeles, CA",Venus_D-Lite
NA,35,4,Sharon Needles,1st (Winner),Aaron Coady,29,WIN,HIGH TEAM,WIN,SAFE,HIGH,SAFE,HIGH,BTM2,WIN,LOW,WIN,TOP 3,N/A,WINNER,NA,NA,"Pittsburgh, PA",Sharon_Needles
NA,36,4,Chad Michaels,2nd/3rd (Runners-Up),Chad Michaels,40,SAFE,WIN Team Captain,HIGH,HIGH TEAM,WIN,SAFE,LOW,SAFE,HIGH,HIGH,BTM2 Mini Chall. Winner,TOP 3,N/A,RUNNER UP,NA,NA,"San Diego, CA",Chad_Michaels
NA,37,4,Phi Phi O'Hara,2nd/3rd (Runners-Up),Jaremi Carey,25,SAFE,SAFE Team Captain,SAFE Team Captain,HIGH TEAM,LOW Mini Chall. Winner,HIGH,WIN,BTM2,LOW Mini Chall. Winner,WIN,HIGH,TOP 3,N/A,RUNNER UP,NA,NA,"Chicago, IL",Phi_Phi_O%27Hara
NA,38,4,Latrice Royale,4th (Miss Congeniality),Timothy Wilcots,39,SAFE,SAFE,SAFE,WIN,SAFE,HIGH,LOW Mini Chall. Winner,WIN,BTM2,BTM2,ELIM,,,MISS CON,NA,NA,"South Beach, FL",Latrice_Royale
NA,39,4,Kenya Michaels,5th (orig. 9th),Kenya Olivera,21,LOW,SAFE,HIGH Team Captain,LOW,ELIM,,,,,RTRN + ELIM Mini Chall. Winner,,,,GUEST,NA,NA,"Dorado, PR",Kenya_Michaels
NA,40,4,Dida Ritz,6th,Xavier Hairston,25,SAFE,LOW,BTM2,SAFE,SAFE,LOW,SAFE,SAFE,ELIM,,,,,GUEST,NA,NA,"Chicago, IL",Dida_Ritz
NA,41,4,Willam,7th (Disqualified),Willam Belli,29,SAFE,SAFE Team Captain,SAFE,HIGH TEAM Team Captain,HIGH,WIN Mini Chall. Winner,BTM2,WIN + DISQ,,,,,,GUEST,NA,NA,"Los Angeles, CA",Willam
NA,42,4,Jiggly Caliente,8th,Bianca Castro,30,BTM2 Mini Chall. Winner,SAFE,SAFE Mini Chall. Winner,HIGH TEAM,SAFE,BTM2,ELIM,,,,,,,GUEST,NA,NA,"Queens, NY",Jiggly_Caliente
NA,43,4,Milan,9th,Dwayne Cooper,36,SAFE,HIGH TEAM,SAFE,BTM2,BTM2,ELIM,,,,,,,,GUEST,NA,NA,"New York, NY",Milan
NA,44,4,Madame LaQueer,10th,Carlos Melendez,29,SAFE,WIN,LOW,ELIM Team Captain,,,,,,,,,,GUEST,NA,NA,"Carolina, PR",Madame_LaQueer
NA,45,4,The Princess,11th,Adam Biga,31,HIGH,BTM2,ELIM,,,,,,,,,,,GUEST,NA,NA,"Chicago, IL",The_Princess
NA,46,4,Lashauwn Beyond,12th,Lashauwn Jackson,21,HIGH,ELIM,,,,,,,,,,,,GUEST,NA,NA,"Fort Lauderdale, FL",Lashauwn_Beyond
NA,47,4,Alisa Summers,13th,Alex Hernandez,23,ELIM,,,,,,,,,,,,,GUEST,NA,NA,"Tampa, FL",Alisa_Summers
NA,48,5,Jinkx Monsoon,1st (Winner),Jerick Hoffer,25,SAFE,SAFE,HIGH,HIGH Team Captain,WIN,HIGH,HIGH,HIGH,WIN,HIGH,BTM2,TOP 3,N/A,WINNER,NA,NA,"Seattle, WA",Jinkx_Monsoon
NA,49,5,Alaska,2nd/3rd (Runners-Up),Justin Andrew Honard,27,HIGH,SAFE,LOW Team Captain,SAFE,HIGH,SAFE,HIGH Mini Chall. Winner,WIN,HIGH,LOW Mini Chall. Winner,WIN Mini Chall. Winner,TOP 3,N/A,RUNNER UP,NA,NA,"Pittsburgh, PA",Alaska
NA,50,5,Roxxxy Andrews,2nd/3rd (Runners-Up),Michael Feliciano,28,WIN,SAFE,HIGH,LOW,HIGH Mini Chall. Winner,HIGH,BTM2,LOW,HIGH,WIN,HIGH,TOP 3,N/A,RUNNER UP,NA,NA,"Orlando, FL",Roxxxy_Andrews
NA,51,5,Detox,4th,Matthew Sanderson,27,SAFE Mini Chall. Winner,"SAFE
Team Captain",WIN,SAFE,BTM2 Mini Chall. Winner,SAFE Mini Chall. Winner,SAFE,HIGH,LOW Team Captain,BTM2,ELIM,,,GUEST,NA,NA,"Los Angeles, CA",Detox
NA,52,5,Coco Montrese,5th,Martin Cooper,37,SAFE,SAFE,BTM2,SAFE Team Captain,SAFE,BTM2,WIN,LOW,BTM2,ELIM,,,,GUEST,NA,NA,"Las Vegas, NV",Coco_Montrese
NA,53,5,Alyssa Edwards,6th,Justin Johnson,32,SAFE,SAFE,SAFE,WIN,LOW Mini Chall. Winner,LOW,BTM2,BTM2,ELIM Team Captain,,,,,GUEST,NA,NA,"Mesquite, TX",Alyssa_Edwards
NA,54,5,Ivy Winters,7th (Miss Congeniality),Dustin Winters,26,HIGH,HIGH TEAM Team Captain,SAFE,HIGH,LOW,WIN,LOW,ELIM Mini Chall. Winner,,,,,,MISS CON,NA,NA,"New York, NY",Ivy_Winters
NA,55,5,Jade Jolie,8th,Josh Green,25,LOW,SAFE,SAFE,SAFE,SAFE,ELIM,,,,,,,,GUEST,NA,NA,"Gainesville, FL",Jade_Jolie
NA,56,5,Lineysha Sparx,9th,Andy Trinidad,24,HIGH,WIN,SAFE Team Captain,SAFE,ELIM,,,,,,,,,GUEST,NA,NA,"San Juan, PR",Lineysha_Sparx
NA,57,5,Honey Mahogany,10th/11th (Double Elim.),Alpha Mulugeta,29,SAFE,HIGH TEAM,SAFE,ELIM,,,,,,,,,,GUEST,NA,NA,"San Francisco, CA",Honey_Mahogany
NA,58,5,Vivienne Pinay,10th/11th (Double Elim.),Michael Donehoo,26,SAFE,HIGH TEAM,LOW,ELIM,,,,,,,,,,GUEST,NA,NA,"New York, NY",Vivienne_Pinay
NA,59,5,Monica Beverly Hillz,12th,Monica DeJesus Anaya,27,SAFE,BTM2,ELIM,,,,,,,,,,,GUEST,NA,NA,"Owensboro, KY",Monica_Beverly_Hillz
NA,60,5,Serena ChaCha,13th,Myron Morgan,21,BTM2,ELIM Team Captain,,,,,,,,,,,,GUEST,NA,NA,"Tallahassee, FL",Serena_ChaCha
NA,61,5,Penny Tration,14th,Tony Cody,39,ELIM,,,,,,,,,,,,,GUEST,NA,NA,"Cincinnati, OH",Penny_Tration
NA,62,6,Bianca Del Rio,1st (Winner),Roy Haylock,38,,WIN,HIGH TEAM,SAFE,HIGH,HIGH,HIGH,WIN,SAFE,WIN Mini Chall. Winner,HIGH,TOP 3,N/A,WINNER,NA,NA,"New York, NY",Bianca_Del_Rio
NA,63,6,Adore Delano,2nd/3rd (Runners-Up),Danny Noriega,23,LOW,,LOW Team Captain,HIGH Team Captain,HIGH,WIN,WIN,SAFE,BTM2,BTM2,WIN,TOP 3,N/A,RUNNER UP,NA,NA,"Azusa, CA",Adore_Delano
NA,64,6,Courtney Act,2nd/3rd (Runners-Up),Shane Jenek,33,,SAFE,HIGH TEAM,WIN,SAFE,SAFE,LOW,SAFE,WIN,SAFE,LOW,TOP 3,N/A,RUNNER UP,NA,NA,"West Hollywood, CA",Courtney_Act
NA,65,6,Darienne Lake,4th,Greg Meyer,41,,BTM2,WIN,LOW,SAFE,LOW Mini Chall. Winner,BTM2,HIGH,SAFE,LOW,BTM2,ELIM,,RTRN,NA,NA,"Rochester, NY",Darienne_Lake
NA,66,6,BenDeLaCreme,5th (Miss Congeniality),Benjamin Putnam,31,WIN,,SAFE,HIGH Team Captain,WIN,SAFE,BTM2,LOW,HIGH Mini Chall. Winner,HIGH,ELIM Mini Chall. Winner,,,MISS CON,NA,NA,"Seattle, WA",BenDeLaCreme
NA,67,6,Joslyn Fox,6th,Patrick Joslyn,26,,LOW,HIGH TEAM,SAFE,SAFE,HIGH,LOW,BTM2 Mini Chall. Winner,LOW,ELIM,,,,RTRN + MARRIED,NA,NA,"Worcester, MA,",Joslyn_Fox
NA,68,6,Trinity K. Bonet,7th,Joshua Jones,22,,HIGH Mini Chall. Winner,HIGH TEAM,BTM2,SAFE,BTM2,HIGH,HIGH,ELIM,,,,,RTRN,NA,NA,"Atlanta, GA",Trinity_K._Bonet
NA,69,6,Laganja Estranja,8th,Jay Jackson,24,SAFE Mini Chall. Winner,,SAFE,SAFE,BTM2,SAFE,WIN Mini Chall. Winner,ELIM,,,,,,RTRN,NA,NA,"Van Nuys, CA",Laganja_Estranja
NA,70,6,Milk,9th,Dan Donigan,25,,HIGH,HIGH TEAM Team Captain,SAFE,LOW,ELIM,,,,,,,,RTRN,NA,NA,"New York, NY",Milk
NA,71,6,Gia Gunn,10th,Gia Ichikawa,22,HIGH,,SAFE,SAFE,ELIM,,,,,,,,,RTRN,NA,NA,"Chicago, IL",Gia_Gunn
NA,72,6,April Carrión,11th,Jason Carrión,23,HIGH,,BTM2,ELIM,,,,,,,,,,RTRN,NA,NA,"Guaynabo, PR",April_Carrión
NA,73,6,Vivacious,12th,Osmond Vacious,40,BTM2,,ELIM,,,,,,,,,,,RTRN,NA,NA,"New York, NY",Vivacious
NA,74,6,Magnolia Crawford,13th/14th,Reynolds Engelhart,28,,ELIM,,,,,,,,,,,,RTRN,NA,NA,"Seattle, WA",Magnolia_Crawford
NA,75,6,Kelly Mantle,13th/14th,Kelly Mantle,37,ELIM,,,,,,,,,,,,,RTRN,NA,NA,"Los Angeles, CA",Kelly_Mantle
NA,76,7,Violet Chachki,1st (Winner),Paul Jason Dardo,22,WIN,HIGH,SAFE,SAFE,LOW,SAFE,SAFE,HIGH,LOW,WIN Mini Chall. Winner,WIN,TOP 3,N/A,WINNER,NA,NA,"Atlanta, GA",Violet_Chachki
NA,77,7,Ginger Minj,2nd/3rd (Runners-Up),Joshua Allen Eads,29,SAFE,WIN Team Captain,HIGH TEAM,HIGH,SAFE,HIGH TEAM Mini Chall. Winner,WIN,BTM2,WIN,BTM2,HIGH Mini Chall. Winner,TOP 3,N/A,RUNNER UP,NA,NA,"Orlando, FL",Ginger_Minj
NA,78,7,Pearl,2nd/3rd (Runners-Up),Matthew James Lent,23,SAFE,SAFE,LOW,BTM2,WIN,SAFE,SAFE,WIN,BTM2,SAFE,HIGH,TOP 3,N/A,RUNNER UP,NA,NA,"Brooklyn, NY",Pearl
NA,79,7,Kennedy Davenport,4th,Reuben Asberry Jr.,33,HIGH,SAFE,BTM2 Team Captain,WIN,HIGH,HIGH TEAM,WIN,SAFE Mini Chall. Winner,HIGH,SAFE,BTM2,ELIM,,GUEST,NA,NA,"Dallas, TX",Kennedy_Davenport
NA,80,7,Katya,5th (Miss Congeniality),Brian Joseph McCook,32,SAFE,BTM2,SAFE,HIGH,SAFE Mini Chall. Winner,WIN,HIGH,HIGH,HIGH,WIN,ELIM,,,MISS CON,NA,NA,"Boston, MA",Katya
NA,81,7,Trixie Mattel,6th (orig. 11th),Brian Michael Firkus,24,SAFE,SAFE Team Captain,HIGH TEAM,ELIM,,,,WIN + RTRN,HIGH Mini Chall. Winner,ELIM,,,,GUEST,NA,NA,"Milwaukee, WI",Trixie_Mattel
NA,82,7,Miss Fame,7th,Kurtis Dam-Mikkelsen,29,HIGH,LOW,HIGH TEAM,HIGH,SAFE,LOW,LOW,LOW,ELIM,,,,,GUEST,NA,NA,"New York, NY",Miss_Fame
NA,83,7,Jaidynn Diore Fierce,8th,Christopher Williams,25,SAFE,SAFE,HIGH TEAM,HIGH,HIGH,BTM2,BTM2,ELIM,,,,,,GUEST,NA,NA,"Nashville, TN",Jaidynn_Diore_Fierce
NA,84,7,Max,9th,Max Malanaphy,22,SAFE,SAFE,WIN Team Captain,SAFE,WIN,SAFE,ELIM,OUT,,,,,,GUEST,NA,NA,"Portsmouth, NH",Max
